CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
africa;Africa;Afrique;Afrika;;;;;;;;;;;x
asia;Asia;Asie;Asien;;;;;;;;;;;x
australia_new_zealand;Oceania;;;;;;;;;;;;;x
central_africa;Equatorial Africa;;;;;;;;;;;;;x
east_africa;East Africa;;;;;;;;;;;;;x
east_indies;East-Indies;;;;;;;;;;;;;x
europe;Europe;Europe;Europa;;;;;;;;;;;x
indochina;Indo-China;;;;;;;;;;;;;x
north_america;North Eriksland;;;;;;;;;;;;;x
oceania;Near East;;;;;;;;;;;;;x
polynesia;Pacific Islands;Océanie;Ozeanien;;;;;;;;;;;x
north_america;South Eriksland;;;;;;;;;;;;;x
south_west_africa;South-West Africa;;;;;;;;;;;;;x
west_africa;West Africa;;;;;;;;;;;;;x
