PROV29;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;Tïp Šapkasï;x
PROV97;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;Ville-au-Lac-de-Sel;x
PROV254;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;x
PROV255;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;x
PROV256;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;x
PROV257;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;x
PROV258;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;x
PROV259;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;x
PROV260;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;x
PROV261;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;x
PROV262;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;x
PROV263;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;x
PROV264;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;x
PROV265;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;x
PROV356;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;Dünaburg;x
PROV357;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;Mitau;x
PROV366;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;Aarhaus;x
PROV371;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;Apenrade;x
PROV372;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;Köpenhamn;x
PROV373;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;Ottensee;x
PROV393;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;Doornik;x
PROV394;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;Karelskoning;x
PROV399;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;Rijsel;x
PROV423;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;x
PROV424;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;x
PROV458;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;x
